영단어,동의어,단어뜻,예문,예문뜻
endure,"bear, tolerate, put up with, stand",(주로 부정문) 견디다 ; 인내하다; ~을 참다,We can't endure losing the game to Japan.,우리는 일본과의 경기를 지는 것을 참을 수 없다.
instinct,natural impulse,"본능; (종종 pl.) 직관, 육감, 직감",They censored the movie “BASIC INSTINCT.,” 그들은 영화 원초적 본능을 검열했다.
humble,modest,"겸손한, 겸허한; 조심성 있는; (신분 등이) 천한, 비 천한",He is humble toward everybody.,그는 누구에게나 겸손하다.
humble,modest,"겸손한, 겸허한; 조심성 있는; (신분 등이) 천한, 비 천한","However humble it may be, there's no place like home.",아무리 비천할지라도 집 만한 곳은 없다.
insult,offend,"모욕하다 , 무례한 짓을 하다",He insulted me calling me a fool.,그는 나를 바보라고 부르면서 나를 모욕했다.
embarrass,"confuse, bewilder, perplex","당혹하게 하다, 난처하게 하 다",We will change the subject if we are embarrassing you.,우리가 당신을 난처하게 한다면 주제를 바꾸겠습니다.
distress,grief,"비탄, 고민, 걱정; 고통, 가난, 곤궁; 재난, 불행; 괴롭히 다, 슬프게 하다","Gold is tried with fire, friendship with distress.","황금은 불로 시험하고, 우정은 곤경이 시험한다."
distress,grief,"비탄, 고민, 걱정; 고통, 가난, 곤궁; 재난, 불행; 괴롭히 다, 슬프게 하다",What are you looking so distressed about?,무엇 때문에 그렇게 고민스러워 보여?
irritate,,"초조하게 하다, 노하게 하다, 안달 나게[속 타게] 하다",In summer mosquito(e)s irritate people.,여름에 모기는 사람들을 짜증나게 한다.
modest,,"겸손한, 조심성 있는 ; 얌전한, 점잖은; 간소한","The more learned a man is, the more modest he should be.","사람은 많이 배울수록, 더 겸손해져야 한다."
coward,,겁쟁이 ; 비겁한 자,They called me a coward because I would not fight.,그들은 내가 싸우려 하지 않았기 때문에 나를 겁쟁이라고 불렀다.
personality,,"개성, 성격, 인격, 인물; 인간(성)",The teacher's personality should be pleasantly live and attractive.,교사의 성격은 유쾌하게 발랄하며 매력적이어야 한다.
annoy,"irritate, disturb, bother","괴롭히다, 귀찮게 굴다; 불쾌한 짓 [말]을 하다",Waiting in line is so annoying.,줄서서 기다리는 건 정말 짜증나요.
prejudice,bias,"편견 , 선입관; 치우친 생각, 편애",It is our duty as individuals and as a nation to exterminate the seeds of racial hatred and prejudice.,인종간의 증오와 편견의 씨앗을 근절시키는 것이 개인으로서 그리고 국민 으로서 우리의 의무다.
tease,,"괴롭히다, 집적거리다 , 애타게 하다; 지분거림, 놀림, 끈덕지게 괴 롭힘",He likes to tease friends.,그는 친구들 놀리는 것을 좋아한다.
arrogant,haughty,"거만[오만]한 , 건방진",I don't like people who are lazy or arrogant.,나는 게으르거나 거만한 사람을 좋아하지 않습니다.
stubborn,obstinate,"완고한 ,고집 센",She was too stubborn to accept my advice.,그녀는 너무 고집이 세서 나의 충고를 받아들이지 않았다.
timid,,"겁 많은, 두려워하는, 소심한, 마음이 약한",They're also self-confident but can be timid at times also.,자신감이 있지만 때로는 소심하기도 하구요.
value,,"가치, (pl.) 가치관; 평가하다 ; 소중히 하다",Its value cannot be measured by money.,그 가치는 돈으로 평가될 수 없다.
appetite,,"식욕, 욕구; 욕망; 흥미",A good appetite is a good sauce.,시장이 반찬이다.
generous,,"관대한 , 아량이 있는",Thank you again for your generous donations.,여러분의 아낌없는 정성에 다시 한 번 감사드립니다.
astonish,"amaze, surprise, bewilder",(깜짝) 놀라게 하다,He astonished us with his strange idea.,그는 기묘한 아이디어로 우리를 놀라게 했다.
cruel,"brutal, merciless","잔인한, 무자비한 ; 비참한",How can we be so cruel?,우리가 어떻게 그런 잔인한 짓을 할 수 있을까?
tolerate,"endure, stand, put up with","참다, 견디다; 관대히 다루다, 묵인하다",I won't tolerate your selfishness.,너의 이기심은 용서치 않겠다.
suppose,,"가장하다, 상상하다, 추측하다; 만일 ~이라면",I suppose his criticism was fair comment.,내 생각에 그의 비판은 정당한 논평이었다.
suppose,,"가장하다, 상상하다, 추측하다; 만일 ~이라면",Suppose we wait until tomorrow.,만일 내일까지 기다리면 어떨까?
upset,,"당황케 하다 ; 뒤집다, 전복시키다; 망쳐버리다",I was upset because my brother didn't keep the promise.,동생이 약속을 지키지 않아서 화가 났다.
cheerful,merry,"명랑한, 유쾌한; 기운찬",She is the kind of person whose personality is always cheerful.,그녀는 성격이 항상 명랑한 부류의 사람이다.
aggressive,offensive,"공격적인 , 침략적인; 적극적인",He’s a little more aggressive as a photographer than I am.,그는 사진작가로서 나보다 조금 더 적극적인 사람이다.
impress,"move, touch",감동시키다; 깊은 인상을 주다,He exaggerated his achievements to impress his audience.,그는 청중의 관심을 끌기 위해 자기 업적을 과장해서 말했다.
undergo,"go through, experience","(시련 등을) 경험하다 , 겪다, 당하 다; 견디다",I have to undergo an operation for appendicitis early next week.,내주 초에 맹장 수술을 받게 되었습니다.
divert,,전환하다; 기분을 전환시키다,The flow of the river was diverted from east to south.,강물의 흐름이 동에서 남으로 전환되었다.
depression,,"우울, 의기소침 ; 불경기 , 불황",He is in a state of depression.,그는 의기소침한 상태이다.
ambitious,,"야심이 있는, 야심적인 , 패기가 있는",He is ambitious to get through high school in two years.,그는 고등학교를 2년 안에 마치려는 포부를 갖고 있다.
sympathy,,"동정(심), 공감, 동감",His eyes were warm with sympathy.,그의 눈은 동정심으로 온화해졌다.
grief,"sadness, sorrow","슬픔, 비탄",She went nearly mad with grief after the child died.,그녀는 그 아이가 죽은 후 슬픔으로 거의 미치다시피 했다.
tedious,"boring, dull","지루한 , 지겨운",We are bored by his tedious lecture.,그의 지루한 강의에 넌더리가 난다.
stern,"strict, harsh, inflexible","엄격한 , 단호한; 가혹한",The teacher is stern with his pupils.,그 선생님은 학생들에게 엄하시다.
shame,,"창피, 부끄러움, 수치; 부끄럽게 하다, 창피를 주다","If you do such a thing, you will bring shame on our whole family.",네가 그런 짓을 하면 온 집안이 창피를 당한다.
merciful,,"자비로운 , 인정이 많은",He is merciful to others.,그는 남에게 인정이 많다.
considerate,thoughtful,이해심[동정심] 있는; 신중한,The student should be considerate toward others.,학생은 다른 이들을 사려 깊은 마음으로 대해야 한다.
furious,"very angry, raging","격노한, 몹시 화가 난; 격렬한, 맹렬한",He got furious at her remarks.,그는 그녀의 말에 몹시 화가 났다.
greedy,,"탐욕스러운, 욕심 사나운; 갈망하는",He is greedy for money and power.,그는 돈과 권력에 탐욕을 부린다.
weary,"tired, exhausted","피곤한, 싫증이 난; 지치게 하다, 싫증나게 하다","The travelers were weary after their long, hot day of hiking in the mountains.",여행자들은 길고 무더운 날 산행을 하고 난 뒤라 지쳐 있었다.
notorious,"infamous, disreputable","악명 높은, (나쁘게) 소문난",Their products are notorious for poor quality.,그 회사 제품들은 질이 형편없기로 악명 높다.
conservative,,보수적인 ; 전통적인; 보수적인 사람,Our investment philosophy is typically conservative and risk free.,우리의 투자 철학은 전형적으로 보수적이며 위험을 무릅쓰지 않는다.
progressive,,진보적인 ; 전진하는; 혁신적인; 진보론자,They dreamed a progressive society.,그들은 진보적인 사회를 꿈꾸었다.
favorite,,"좋아하는, 마음에 드는","In 1866, America's favorite pastime was the game of billiards.",1866년에 미국인들이 가장 좋아하는 취미 활동은 당구였다.
meditate,,"심사숙고하다, 명상하다; 계획하다",She was meditating a journey to Japan.,그녀는 일본 여행을 계획하고 있었다.
meditate,,"심사숙고하다, 명상하다; 계획하다","He sat quietly, meditating on the day's events.",그는 조용히 앉아서 그 날의 일들에 대해 곰곰 생각했다.
frighten,scare,"놀라게 하다, 무섭게 하다",The children's shouts frightened off the birds.,아이들의 고함소리에 새들이 놀라서 날아갔다.
resolve,"decide, determine","결심하다, 결정하다; 분해하다, 녹이다",Both countries have agreed to resolve the issue through negotiation.,양국은 협상을 통해 문제를 풀어나가기로 합의했다.
certain,sure,"확실한, 확신하는; 어떤, 특정한; 어느 정도의",It isn’t certain whether he will pass the examination.,그가 시험에 합격할지는 확실치 않다.
certain,sure,"확실한, 확신하는; 어떤, 특정한; 어느 정도의",Senior students are usually allowed certain privileges.,상급생들에게는 보통 어떤 특권이 허용된다.
tactful,,재치 있는; 요령 있는; 약삭빠른,It would have been more tactful to say nothing.,아무 말도 하지 않는 것이 좀 더 재치 있었을 것이다.
tactful,,재치 있는; 요령 있는; 약삭빠른,I tried to find a tactful way of telling her the truth.,나는 그녀에게 그 진실을 말하는 요령 있는 방법을 찾으려고 했다.
impudent,,"경솔한, 무례한; 뻔뻔한",He was impudent enough to ask me for a holiday.,그는 뻔뻔스럽게도 내게 휴가를 달라고 했다.
shallow,,"얕은; 천박한, 얄팍한, 피상적인; 물이 얕은 곳",The stream was shallow and we could walk across it.,개울이 얕아서 걸어서 건널 수 있었다.
shallow,,"얕은; 천박한, 얄팍한, 피상적인; 물이 얕은 곳",His analysis of the situation is too shallow.,그의 상황 분석은 너무 피상적이다.
distinct,"definite, different",뚜렷한; 다른; 독특한,There is a distinct difference between the two.,둘 사이에는 뚜렷한 차이가 있다.
weird,strange,"두려운, 불가사의한, 으스스한",He does all those weird things to draw interest of her.,그는 그녀의 관심을 끌려고 별 이상한 짓을 한다.
obscure,unclear,"모호한, 막연한, 분명치 않은",My friend mumbled some obscure reason for being late.,내 친구는 늦은 데 대해 애매한 이유를 어물어물댔다.
capricious,,변덕스러운,He was a cruel and capricious tyrant.,그는 잔인하고 변덕스러운 폭군이었다.
keen,"sharp, passionate","날카로운, 예리한, 예민한; 열중하는",She has a keen insight into human character.,그녀는 사람의 성격을 꿰뚫어 보는 날카로운 통찰력을 지니고 있다.
quiver,,"흔들리다, 떨리다",Her lips quivered with anger.,화가 나서 그녀의 입술이 바르르 떨렸다.
persist,,"고집하다, 주장하다: 지속하다",The regime persists in the unwelcome education policy.,그 정권은 인기 없는 교육 정책을 고집하고 있다.
scare,frighten,겁을 주다; 겁내다; 공포,She is scared to go out alone at night.,그녀는 밤에 혼자 나가는 것을 무서워한다.
withstand,resist,"견디다, 저항하다","Due to an inadequate irrigation system, many farmers are unable to withstand prolonged droughts.",관개 시설 부족 때문에 많은 농부들은 장기간 지속돼 온 가뭄을 견뎌 낼 수 없다.
curse,,"저주(하다), 악담(하다)",He’s the only person who have survived the killing curse.,그는 죽음의 저주에서 살아남은 유일한 사람이다.
yell,"scream, shout","소리를 지르다; 외침, 고함 소리",They yelled until they were hoarse.,그들은 목이 쉴 때까지 소리를 질렀다.
yearn,,"그리워하다, 동경하다; 열망하다",They yearned to see their motherland again.,그들은 모국을 다시 한 번 보기를 갈망했다.
whisper,,"속삭이다, 작은 소리로 말하다; 속삭임",Those two were whispering about something.,저 두 사람은 무엇인지 소곤대고 있었다.
zealous,,"열심인, 열광적인",He is a zealous supporter of the government's policies.,그는 정부 정책의 열성적 지지자이다.
noble,,"고귀한, 고결한, 귀족의; 뛰어난, 훌륭한",He is aman of noble birth.,그는 귀족 태생이다.
noble,,"고귀한, 고결한, 귀족의; 뛰어난, 훌륭한",He died for a noble cause.,그는 고귀한 대의를 위해 죽었다.
sigh,,"한숨, 탄식; 한숨을 쉬다, 탄식하다","With a sigh of relief, he pulled into the parking lot.",안도의 한숨을 내쉬며 주차장에 차를 대었다.
various,a variety of,"여러 가지의, 다양한",The computerized information can be used for various purposes.,전산화된 정보는 여러 가지 목적으로 이용될 수 있다.
uneasy,uncomfortable,"불안한, 어색한, 불편한",Many people are uneasy in the company of strangers.,많은 사람들은 낯선 사람들 앞에 나가면 불안해한다.
lament,grieve,"슬퍼하다, 비탄하다; 비탄, 한탄",They lamented that so many buildings had been destroyed.,그들은 너무나도 많은 건물들이 파괴된 것을 슬퍼했다.
habitual,,"습관적인; 타고난, 선천적인",He is a habitual liar.,그는 상습적인 거짓말쟁이이다.
boast,"be proud of, pride oneself on, take pride in",자랑(하다),He boasts about his new car every day.,그는 자기의 새 차를 매일 자랑한다.
deliberate,"careful, thoughtful","신중한, 사려 깊은; 고의의, 계획적인; 심사숙고하다",He is always deliberate in speaking.,그는 항상 신중하게 말을 한다.
aware,,"알아차리고, 깨닫고",He was not aware of the approaching danger.,그는 위험이 다가오는 것을 알지 못했다.
awful,,"지독한, 대단한; 무서운",It's hard to stay sane under such awful pressure.,이런 지독한 압박감 속에서 제정신을 지키는 것은 어려운 일이다.
recognize,"identify, notice, acknowledge",알아보다; 인지하다 ; 인정하 다,He had changed so much that I could hardly recognize him.,그가 너무 많이 변해서 거의 알아보지 못할 뻔 했다.
recognize,"identify, notice, acknowledge",알아보다; 인지하다 ; 인정하 다,Everyone recognized him to be the lawful heir.,모두가 그를 합법적인 상속인으로 인정했다.
contact,"communicate with, get in touch with","접촉하다, 연락하다; 접촉; 교제; 연락",Please contact me when you come to Korea again.,한국에 또 오시게 되면 저한테 연락 주세요.
encourage,inspire,"격려하다, 용기를 돋우다",The teacher encouraged me to do my best.,선생님께서 내가 최선을 다하도록 격려해 주셨다.
apparent,"obvious, evident","명백한, (눈에) 또렷한",Don't misunderstand his apparent indifference.,그의 겉으로 보기에 무관심한 것 같은 태도를 오해하지 말라.
describe,,"묘사하다 , 기술하다, 말하다",The Eskimos have many different words to describe snow.,에스키모 인들은 눈을 묘사하는 말들을 많이 가지고 있다.
visible,,눈에 보이는; 명백한,Love is not visible but valuable.,사랑은 보이지 않지만 소중한 것이다.
discourage,,"실망시키다 , 용기를 잃게 하다; 낙심하다","He consoled me, when I was discouraged.","내가 낙담해 있을 때, 그가 나를 위로해 주었다."
sight,"vision, view","시각, 시력 ; 시야; 광경; 경치",Romeo fell in love with Juliet at the first sight.,로미오는 첫 눈에 줄리엣과 사랑에 빠졌다.
reflect,,"반사하다 ; (비유) 반영하다, 나타내다",A mirror reflects light.,거울은 빛을 반사한다.
reflect,,"반사하다 ; (비유) 반영하다, 나타내다",Life does not always reflect our ideals.,삶이 항상 우리의 이상을 반영하는 것은 아니다.
insight,,"통찰력, 통찰; 간파",He has the insight to recognize people's talents.,그에게는 사람들의 재능을 알 수 있는 통찰력이 있다.
distinguish,discern,"구별하다 , 분별[식별]하다",I am color-blind so I can't distinguish colors.,나는 색맹이어서 색을 잘 구별하지 못 한다.
observe,,"관찰하다 , 관측하다; (법률·풍습·규정·시간 등을) 지키다 , 준수하 다",The police observed the man entering the store.,경찰은 그 남자가 가게에 들어가는 것을 관찰했다.
observe,,"관찰하다 , 관측하다; (법률·풍습·규정·시간 등을) 지키다 , 준수하 다",We are to observe the national law.,우리는 국법을 준수해야 한다.
notice,perceive,"알아채다 , 인지하다; 주의하다; 통지하다; 주의, 주 목; 통지 ; 공고; 게시","She was wearing a new dress, but he didn't even notice it.",그녀는 새 옷을 입고 있었지만 그는 알아채지 조차 못 했다.
outstanding,"remarkable, noticeable","눈에 띄는, 현저한",His outstanding attribute was his kindness.,그의 뛰어난 장점은 상냥함이었다.
perceive,,"지각하다, 감지하다 ; 인식하다","The things that we perceive (see, hear, smell, etc.aren't entirely determined by what our senses detect.","보고, 듣고, 냄새를 맡는 것 등과 같이) 우리가 지각하는 것들은 우리의 감 각들이 인지하는 것에 의해 전적으로 결정되지는 않는다."
remarkable,"outstanding, noticeable","주목할 만한, 현저한",Consumers' preference for LCD televisions is also remarkable.,LCD 텔레비전에 대한 소비자들의 선호도도 괄목할 만하다.
stare,"watch, gaze","응시하다 , 노려보다","When riding a train or a bus, I hated it because people stared.",버스나 기차를 탈 때 나는 사람들이 쳐다보기 때문에 타기가 싫다.
glance,glimpse,"힐긋 보다, 언뜻 보다; 힐긋 봄,한 번봄","While riding the bus to work, my friend glanced at the man seated opposite her.",버스를 타고 출근하다가 나의 친구는 자기 맞은편에 앉아있는 남자를 힐긋 봤다.
fancy,illusion,"공상, 상상(력); 공상하다 ; 상상하다; 공상의; 화려한",It has literally become a fancy island where one feels the breath of nature and the pulse of modern city life at the same time.,그곳은 문자 그대로 자연의 숨결과 현대적 도시 생활을 동시에 느낄 수 있 는 환상의 섬으로 변모했다.
faint,"dim, unclear","기절하다 , 졸도하다; 어렴풋한 , 희미한 , (색이) 엷 은","He fainted with hunger and fatigue, but came to after a while.","그는 허기와 피로로 정신을 잃었지만, 잠시 후 의식을 회복했다."
gaze,stare,"지켜보다 , 응시하다; 응시, 주시, 눈여겨 봄","He was sitting on the rock, gazing at the sea.",그는 바다를 응시한 채로 바위에 앉아 있었다.
acid,sour,"신, 신맛의; 산성, 산(酸); 신 것",Now scientists have begun to study the effects of acid rain on larger animals.,이제 과학자들은 산성비가 좀 더 큰 동물들에게 미치는 영향에 대해 연구 를 시작했다.
obvious,"clear, evidence","명백한 , 명확한, 명료한",The merits of the scheme are quite obvious.,그 계획은 장점은 아주 분명하다.
scent,smell,"냄새; 향기, 향내",It's the scent of roses.,그것은 장미향이에요.
glimpse,glance,"흘끗 보다, 얼핏 보다; 힐끗 봄[보임], 일별",We glimpsed the ruined abbey from the windows of the train.,우리는 기차의 차창으로 폐허가 된 대수도원을 힐끗 보았다.
choke,suffocate,"숨 막히게 하다, 질식시키다",The smoke was choking me.,연기가 나를 숨 막히게 했다.
paralyze,,"마비시키다 , 무력[무효]하게 하다",A massive flood paralyzed the local transportation network.,대홍수가 그 지역 교통망을 마비시켰다.
ambiguous,"unclear, vague","애매한, 분명치 않은 , 불명료한",His ambiguous reply made her all the more irritated.,그의 애매한 대답은 그녀를 더욱 화나게 했다.
vague,"unclear, obscure","막연한, 애매한",I was so embarrassed that I made a vague answer to him.,나는 너무 당황해서 그에게 애매한 대답을 했다.
console,"soothe, comfort","위로하다 , 위문하다",I consoled him on the death of his mom.,그의 엄마가 돌아가셔서 위로의 말을 해 주었다.
benefit,"profit, advantage",장점; 이익; 혜택,The government should establish a social security system that provides substantial benefits for our senior citizens as early as possible.,정부는 노인들에게 근본적인 혜택이 돌아갈 수 있는 사회 보장 제도를 가 능한 빨리 수립해야 한다.
imagine,,"상상하다 , 가정하다; ~라고 생각하다",I couldn’t imagine meeting you here.,여기서 당신을 만나리라고는 상상하지 못했다.
amusement,"enjoyment, entertainment, pastime","즐거움, 재미; 오락 (물), 놀이; 위안",We went on a picnic to an amusement park.,놀이 공원으로 소풍을 갔다.
rejoice,be glad,기뻐하다; 향유하다; 축하하다,It was a sight that would make angels rejoice.,그것은 천사도 기뻐할 만한 아름다운 광경이었다.
graceful,elegant,"우화한, 품위 있는",What a graceful dancer she is!,그녀는 정말 우아한 댄서야!
curious,inquisitive,호기심 있는; (나쁜 뜻으로) 꼬치꼬치 캐기 좋아하 는,"At that age, they're curious about everything.",그 나이에 그들은 한참 호기심이 많다.
awkward,,"서투른, 섣부른 ; 거북한, 어색한",I'm in an awkward position because of him.,그 사람 때문에 내 입장이 곤란하게 됐어.
skillful,,"능숙한 , 능란한, 숙련된","Most important thing is not being skillful, but being confident.",가장 중요한 것은 능숙한 것이 아니라 자신감을 가지는 것이다.
entertainment,"amusement, hospitality","오락, 연예 , 여흥; 대접, 환대",Korea's entertainment industry has become a huge business in recent years.,우리나라의 오락 산업은 최근 몇 년 사이 거대한 사업이 되었다.
excellence,superiority,"우수, 탁월(성) , 뛰어남",We are to introduce the excellence of Korean culture to the whole world.,우리는 전 세계에 한국 문화의 우수성을 알리려고 한다.
capability,ability,"능력 , 역량, 재능","For me, the design is just as important as the capability.",난 디자인도 성능만큼이나 중요해.
ignorant,"unlearned, illiterate","무지한, 무학의, 무식한","Rhino horn is of no known medical use, but ignorant people try to buy it.",코뿔소의 뿔은 의학적으로 밝혀진 효능은 없으나 무지한 사람들이 그것을 구매하려고 애쓴다.
inspire,"motivate, encourage",격려하다 ; 고취하다; ~에게 영감을 주 다,An enthusiastic employee is a happy employee and one who also motivates and inspires others.,열정적인 직원은 본인이 하고 있는 일을 즐기며 다른 직원들에게 의욕과 영감을 줍니다.
competent,"able, capable","유능한 , 능력 있는",I found him to be a very competent and reliable worker.,그는 매우 능력이 있고 믿을 수 있는 직원입니다.
intellectual,,"지적인, 지력의; 지능적인","Pessimism is often portrayed as the sign of the intellectual, and optimism as the philosophy of the fool.","염세주의라는 것은 종종 지성인들의 상징으로, 낙관주의라는 것은 바보들의 철학으로 묘사된다."
intelligent,,"지능이 좋은 , 이해력이 뛰어난, 영리한",Might there be intelligent life an other planets?,다른 행성에도 지능이 있는 생명체가 존재할까?
stupid,"foolish, unwise","미련한, 어리석은 , 우둔한, 바보 같은",It's stupid to have a quarrel with friends.,친구와 다투는 것은 어리석은 일이다.
